transaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount,region,sales_rep,quarter,month,year,discount_percent
TXN_877572,2025-07-09,Customer_036,Widget A,Electronics,3,220.99,662.96,South,Bob Smith,Q3,July,2025,2.0
TXN_542417,2025-04-04,Customer_005,Widget A,Accessories,2,175.67,351.33,North,Alice Johnson,Q2,April,2025,10.1
TXN_850800,2023-10-21,Customer_084,Tool Pro,Electronics,2,118.48,236.96,Central,David Wilson,Q4,October,2023,11.8
TXN_543143,2023-09-30,Customer_044,Widget B,Accessories,3,55.68,167.03,East,Bob Smith,Q3,September,2023,15.3
TXN_201414,2024-01-06,Customer_046,Widget A,Tools,3,30.37,91.12,East,Eva Brown,Q1,January,2024,0.9
TXN_496922,2025-01-06,Customer_011,Tool Pro,Electronics,1,117.92,117.92,Central,Carol Davis,Q1,January,2025,0.0
TXN_301629,2025-06-18,Customer_091,Gadget X,Accessories,3,42.54,127.61,North,Alice Johnson,Q2,June,2025,0.0
TXN_205907,2024-07-16,Customer_049,Widget A,Electronics,1,587.4,587.4,East,David Wilson,Q3,July,2024,0.0
TXN_472528,2024-10-01,Customer_027,Widget B,Tools,2,110.51,221.03,East,Alice Johnson,Q4,October,2024,0.0
TXN_356702,2024-03-17,Customer_021,Tool Pro,Accessories,3,900.06,2700.17,West,David Wilson,Q1,March,2024,18.5
TXN_817870,2025-08-28,Customer_042,Tool Pro,Electronics,7,1391.12,9737.87,North,Bob Smith,Q3,August,2025,0.0
TXN_169403,2024-08-12,Customer_028,Gadget Y,Tools,1,1330.94,1330.94,Central,Carol Davis,Q3,August,2024,10.0
TXN_377746,2025-07-13,Customer_018,Gadget Y,Electronics,3,34.32,102.95,South,Eva Brown,Q3,July,2025,0.0
TXN_518801,2025-05-14,Customer_047,Gadget Y,Accessories,3,27.61,82.82,South,Bob Smith,Q2,May,2025,0.0
TXN_260265,2023-12-26,Customer_081,Widget A,Electronics,2,469.35,938.69,South,David Wilson,Q4,December,2023,0.0
TXN_590785,2024-10-22,Customer_068,Gadget Y,Accessories,1,980.19,980.19,East,Eva Brown,Q4,October,2024,0.0
TXN_220116,2023-10-05,Customer_088,Tool Lite,Accessories,1,449.49,449.49,Central,Carol Davis,Q4,October,2023,0.0
TXN_555884,2024-09-06,Customer_021,Widget A,Tools,3,356.71,1070.14,West,Alice Johnson,Q3,September,2024,0.0
TXN_632342,2024-06-19,Customer_014,Tool Pro,Electronics,3,187.7,563.1,East,Eva Brown,Q2,June,2024,0.0
TXN_665579,2024-02-27,Customer_100,Gadget X,Electronics,4,220.1,880.41,Central,Alice Johnson,Q1,February,2024,0.0
TXN_480612,2025-02-05,Customer_040,Widget A,Electronics,3,26.04,78.11,South,Alice Johnson,Q1,February,2025,11.3
TXN_609597,2023-12-13,Customer_009,Widget A,Accessories,2,743.75,1487.51,Central,Bob Smith,Q4,December,2023,9.5
TXN_653306,2025-04-08,Customer_078,Widget B,Tools,7,25.68,179.74,West,Bob Smith,Q2,April,2025,0.0
TXN_426858,2025-08-30,Customer_052,Widget B,Accessories,3,56.99,170.98,East,David Wilson,Q3,August,2025,0.0
TXN_335612,2024-12-29,Customer_009,Widget A,Electronics,2,124.02,248.04,East,Alice Johnson,Q4,December,2024,0.0
TXN_107540,2024-05-16,Customer_010,Tool Pro,Electronics,2,70.02,140.04,North,Bob Smith,Q2,May,2024,0.6
